"
2018-19 District STAAR Performance",,,,,,,,,,,,,,,,,
District Name: HOUSTON ISD (101912),,,,,,,,,,,,,,,,,
County Name: HARRIS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EL
(Current
& 
Monitored)"
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,,,,
"
    Grade 3 Reading
     At Meets Grade Level or Above,2019,37%,38%,34%,27%,28%,68%,17%,75%,82%,64%,23%,25%,35%,29%,26%,24%
,2018,39%,41%,36%,27%,32%,70%,50%,74%,53%,69%,25%,30%,38%,32%,29%,28%
     At Masters Grade Level,2019,18%,19%,16%,11%,12%,43%,8%,52%,55%,42%,8%,12%,17%,14%,10%,9%
,2018,19%,20%,17%,12%,13%,45%,18%,52%,27%,42%,9%,14%,18%,15%,12%,11%
"   Grade 6 Mathematics
     At Approaches Grade Level or Above",2019,81%,81%,75%,66%,75%,93%,75%,95%,91%,86%,47%,65%,77%,70%,72%,73%
,2018,77%,78%,73%,62%,74%,90%,82%,95%,75%,86%,46%,69%,75%,67%,70%,72%
     At Meets Grade Level or Above,2019,47%,48%,42%,30%,40%,70%,21%,86%,64%,66%,26%,37%,45%,34%,36%,39%
,2018,44%,46%,42%,28%,41%,69%,59%,83%,50%,65%,25%,34%,44%,34%,36%,40%
     At Masters Grade Level,2019,21%,22%,20%,10%,16%,45%,4%,70%,36%,44%,12%,17%,21%,14%,14%,16%
,2018,18%,20%,18%,9%,16%,38%,18%,63%,13%,42%,10%,17%,20%,13%,14%,16%
"
   Grade 7 Reading
     At Approaches Grade Level or Above",2019,76%,77%,72%,66%,70%,90%,71%,91%,85%,94%,38%,63%,74%,66%,67%,63%
,2018,74%,76%,69%,63%,66%,90%,68%,93%,80%,92%,33%,58%,71%,62%,64%,63%
     At Meets Grade Level or Above,2019,49%,51%,47%,38%,43%,77%,50%,79%,69%,85%,26%,46%,49%,40%,39%,33%
