Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
KATY ISD (101914) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2019,54%,54%,72%,59%,61%,77%,63%,89%,67%,76%,36%,71%,73%,67%,55%,67%
At Masters Grade Level,2021,30%,31%,49%,37%,37%,55%,41%,73%,17%,55%,17%,53%,53%,42%,30%,43%
,2019,29%,30%,45%,32%,34%,51%,19%,67%,44%,47%,12%,39%,47%,41%,27%,41%
Grade 5 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,70%,70%,86%,71%,81%,92%,88%,98%,100%,87%,63%,93%,89%,80%,75%,85%
,2019,90%,89%,96%,90%,94%,97%,81%,99%,100%,96%,75%,99%,96%,94%,92%,96%
At Meets Grade Level or Above,2021,44%,45%,66%,45%,54%,74%,65%,91%,67%,71%,36%,77%,70%,57%,46%,63%
,2019,58%,59%,73%,56%,63%,79%,69%,94%,67%,75%,39%,73%,75%,69%,57%,72%
At Masters Grade Level,2021,25%,26%,45%,26%,30%,51%,47%,74%,17%,53%,14%,52%,48%,36%,23%,41%
,2019,36%,38%,53%,36%,38%,58%,44%,83%,67%,55%,19%,43%,56%,46%,34%,52%
Grade 5 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,81%,67%,73%,89%,88%,95%,50%,86%,54%,89%,85%,74%,66%,76%
,2019,75%,75%,88%,76%,84%,93%,75%,97%,100%,89%,59%,90%,90%,85%,79%,88%
At Meets Grade Level or Above,2021,31%,32%,52%,35%,38%,60%,71%,78%,17%,64%,26%,60%,56%,44%,31%,46%
,2019,49%,50%,68%,50%,58%,74%,56%,88%,78%,72%,37%,61%,71%,62%,52%,65%
At Masters Grade Level,2021,13%,14%,26%,12%,14%,31%,41%,49%,0%,36%,8%,25%,29%,18%,10%,22%
,2019,24%,25%,39%,24%,27%,44%,13%,64%,22%,42%,15%,32%,42%,32%,23%,36%
Grade 6 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,64%,83%,74%,75%,89%,88%,94%,*,86%,48%,88%,85%,76%,69%,77%
,2019,68%,69%,84%,77%,76%,89%,86%,95%,82%,83%,47%,83%,86%,79%,70%,78%
At Meets Grade Level or Above,2021,32%,34%,55%,42%,43%,62%,46%,76%,*,61%,22%,59%,59%,46%,36%,47%
,2019,37%,38%,56%,44%,43%,63%,33%,80%,73%,62%,25%,52%,60%,48%,35%,48%
At Masters Grade Level,2021,15%,16%,30%,19%,20%,34%,23%,51%,*,35%,7%,32%,32%,24%,14%,24%
,2019,18%,19%,31%,20%,21%,35%,19%,55%,27%,32%,8%,28%,34%,24%,15%,27%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,87%,76%,82%,94%,92%,97%,80%,91%,62%,93%,90%,82%,76%,84%
,2019,81%,81%,92%,86%,88%,96%,95%,99%,100%,92%,68%,94%,94%,89%,85%,91%
At Meets Grade Level or Above,2021,36%,37%,64%,42%,51%,75%,56%,88%,80%,69%,31%,72%,67%,54%,41%,57%
,2019,47%,48%,67%,50%,54%,76%,76%,92%,73%,69%,33%,70%,71%,58%,46%,63%
At Masters Grade Level,2021,15%,17%,36%,16%,22%,45%,20%,69%,20%,40%,10%,42%,40%,28%,15%,32%
,2019,21%,22%,39%,22%,25%,44%,33%,76%,45%,45%,13%,40%,43%,31%,18%,36%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,69%,71%,88%,80%,82%,93%,77%,96%,83%,91%,55%,92%,90%,83%,78%,86%
,2019,76%,77%,90%,83%,85%,94%,87%,97%,90%,93%,59%,94%,92%,86%,81%,86%
At Meets Grade Level or Above,2021,45%,47%,71%,60%,59%,77%,62%,90%,67%,72%,31%,75%,74%,62%,54%,64%
,2019,49%,51%,71%,57%,61%,77%,60%,89%,80%,75%,35%,75%,74%,63%,53%,64%
At Masters Grade Level,2021,25%,27%,47%,35%,34%,53%,31%,72%,33%,49%,12%,46%,50%,38%,30%,41%
,2019,29%,31%,50%,33%,37%,57%,33%,74%,50%,53%,13%,51%,53%,41%,31%,43%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,55%,57%,68%,51%,63%,80%,43%,87%,*,73%,49%,69%,71%,63%,57%,66%
,2019,75%,77%,84%,76%,81%,89%,100%,95%,*,85%,61%,88%,86%,80%,77%,82%
At Meets Grade Level or Above,2021,27%,29%,33%,18%,25%,45%,0%,61%,*,34%,23%,21%,35%,29%,21%,29%
,2019,43%,46%,47%,33%,39%,59%,29%,65%,*,50%,32%,53%,50%,40%,34%,39%
At Masters Grade Level,2021,12%,13%,10%,6%,6%,14%,0%,23%,*,5%,5%,12%,10%,9%,5%,7%
,2019,17%,18%,11%,5%,9%,16%,0%,22%,*,13%,7%,7%,13%,9%,6%,10%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,84%,74%,76%,90%,67%,97%,80%,88%,45%,86%,87%,76%,72%,80%
,2019,70%,72%,88%,81%,82%,92%,87%,97%,90%,91%,51%,89%,89%,84%,78%,84%
At Meets Grade Level or Above,2021,33%,34%,59%,44%,45%,66%,42%,86%,20%,57%,20%,57%,62%,49%,40%,51%
,2019,42%,43%,66%,51%,54%,74%,60%,88%,70%,68%,28%,64%,69%,59%,46%,58%
At Masters Grade Level,2021,10%,10%,23%,15%,15%,24%,8%,46%,0%,25%,4%,17%,26%,17%,11%,20%
,2019,18%,19%,37%,25%,25%,41%,53%,66%,30%,38%,7%,40%,41%,29%,18%,29%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,88%,80%,83%,92%,79%,97%,100%,89%,57%,91%,90%,81%,79%,80%
,2019,86%,86%,94%,88%,92%,96%,100%,98%,89%,96%,59%,99%,95%,91%,89%,90%
At Meets Grade Level or Above,2021,46%,48%,67%,55%,57%,74%,71%,88%,82%,68%,31%,64%,71%,55%,52%,50%
,2019,55%,56%,74%,59%,65%,81%,79%,90%,44%,78%,31%,74%,78%,64%,56%,57%
At Masters Grade Level,2021,21%,22%,38%,25%,26%,43%,29%,63%,55%,40%,10%,34%,41%,27%,22%,20%
,2019,28%,30%,47%,33%,35%,52%,36%,71%,11%,53%,10%,42%,50%,37%,27%,28%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,88%,78%,82%,93%,94%,98%,100%,88%,56%,91%,90%,82%,78%,85%
,2019,88%,88%,96%,90%,94%,98%,100%,99%,93%,99%,67%,96%,96%,95%,92%,95%
At Meets Grade Level or Above,2021,36%,37%,70%,47%,58%,79%,47%,93%,89%,72%,32%,74%,73%,60%,51%,67%
,2019,57%,58%,81%,65%,73%,86%,84%,96%,87%,80%,39%,83%,83%,74%,66%,78%
At Masters Grade Level,2021,11%,11%,32%,15%,18%,36%,12%,66%,11%,31%,9%,38%,35%,24%,15%,30%
,2019,17%,18%,40%,19%,26%,43%,42%,72%,20%,40%,10%,33%,43%,32%,20%,37%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,89%,81%,82%,94%,93%,98%,91%,90%,59%,92%,91%,81%,78%,79%
,2019,81%,81%,93%,84%,89%,96%,100%,98%,100%,96%,64%,98%,95%,87%,85%,86%
At Meets Grade Level or Above,2021,43%,45%,71%,56%,59%,81%,57%,93%,64%,75%,36%,75%,77%,57%,53%,55%
,2019,51%,52%,74%,57%,64%,82%,79%,91%,44%,73%,33%,77%,78%,62%,55%,58%
At Masters Grade Level,2021,24%,25%,49%,28%,35%,59%,21%,79%,55%,57%,17%,50%,54%,35%,29%,32%
,2019,25%,27%,47%,26%,33%,55%,43%,74%,22%,49%,12%,48%,51%,35%,25%,29%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,57%,58%,82%,75%,73%,90%,69%,95%,91%,86%,52%,85%,85%,74%,69%,70%
,2019,69%,70%,86%,77%,79%,91%,86%,97%,89%,90%,50%,87%,89%,79%,74%,73%
At Meets Grade Level or Above,2021,28%,29%,57%,44%,43%,66%,38%,82%,55%,62%,28%,65%,62%,44%,36%,39%
,2019,37%,38%,61%,49%,47%,68%,43%,85%,11%,64%,27%,60%,64%,52%,41%,42%
At Masters Grade Level,2021,14%,15%,36%,21%,22%,43%,23%,64%,36%,45%,13%,38%,39%,26%,18%,20%
,2019,21%,23%,41%,29%,29%,45%,36%,70%,11%,45%,13%,40%,45%,33%,22%,26%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,67%,87%,79%,82%,91%,71%,96%,82%,86%,55%,82%,89%,79%,77%,70%
,2019,68%,67%,84%,75%,77%,91%,81%,96%,89%,92%,42%,88%,88%,76%,73%,69%
At Meets Grade Level or Above,2021,50%,51%,76%,66%,66%,83%,64%,93%,73%,80%,40%,70%,80%,64%,59%,50%
,2019,50%,50%,73%,61%,62%,83%,69%,91%,78%,82%,29%,66%,79%,60%,55%,49%
At Masters Grade Level,2021,12%,14%,34%,22%,21%,40%,14%,65%,18%,39%,5%,24%,38%,24%,16%,12%
,2019,11%,11%,28%,14%,17%,33%,6%,59%,22%,33%,4%,15%,33%,17%,11%,11%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,86%,77%,80%,92%,86%,96%,*,88%,48%,88%,89%,77%,76%,64%
,2019,68%,69%,84%,73%,78%,89%,87%,95%,100%,90%,44%,84%,87%,75%,72%,61%
At Meets Grade Level or Above,2021,57%,58%,77%,66%,67%,85%,79%,94%,*,77%,36%,72%,82%,63%,61%,46%
,2019,49%,50%,70%,56%,59%,80%,74%,89%,73%,80%,28%,65%,76%,55%,51%,34%
At Masters Grade Level,2021,11%,12%,27%,15%,16%,30%,7%,56%,*,24%,6%,14%,30%,17%,12%,6%
,2019,8%,9%,20%,9%,12%,23%,17%,45%,0%,21%,6%,11%,23%,11%,8%,3%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,89%,79%,85%,94%,92%,98%,82%,88%,66%,89%,91%,84%,81%,84%
,2019,85%,84%,93%,89%,92%,94%,89%,99%,100%,94%,62%,95%,94%,91%,90%,91%
At Meets Grade Level or Above,2021,41%,44%,66%,47%,55%,75%,38%,91%,64%,66%,33%,66%,70%,57%,48%,54%
,2019,61%,61%,80%,70%,73%,83%,61%,97%,100%,78%,37%,77%,83%,72%,67%,74%
At Masters Grade Level,2021,23%,26%,47%,29%,35%,53%,15%,80%,64%,46%,14%,51%,51%,38%,27%,37%
,2019,37%,38%,61%,47%,49%,66%,39%,89%,50%,60%,18%,62%,64%,52%,42%,53%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,82%,82%,94%,90%,91%,96%,86%,99%,80%,95%,76%,97%,96%,89%,88%,85%
,2019,88%,88%,96%,92%,93%,97%,100%,99%,100%,99%,75%,96%,97%,93%,92%,91%
At Meets Grade Level or Above,2021,55%,57%,81%,69%,71%,89%,71%,95%,60%,84%,49%,80%,85%,70%,65%,57%
,2019,62%,63%,83%,71%,75%,90%,88%,94%,89%,85%,42%,84%,87%,72%,68%,64%
At Masters Grade Level,2021,22%,26%,51%,34%,37%,61%,36%,78%,50%,60%,16%,50%,55%,40%,30%,26%
,2019,25%,28%,50%,32%,35%,59%,25%,78%,56%,56%,11%,41%,55%,37%,28%,27%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,88%,89%,96%,94%,94%,98%,92%,97%,100%,96%,81%,92%,97%,92%,92%,86%
,2019,93%,93%,97%,96%,96%,98%,100%,99%,100%,98%,80%,95%,98%,96%,95%,91%
At Meets Grade Level or Above,2021,69%,70%,86%,81%,81%,92%,75%,93%,90%,88%,59%,82%,88%,78%,77%,66%
,2019,73%,75%,89%,83%,84%,94%,93%,96%,100%,92%,56%,86%,91%,82%,80%,67%
At Masters Grade Level,2021,43%,45%,68%,57%,58%,79%,33%,83%,70%,75%,31%,67%,72%,56%,52%,41%
,2019,45%,49%,70%,57%,60%,80%,67%,84%,64%,77%,26%,71%,73%,60%,53%,40%
SAT/ACT All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,95%,96%,99%,98%,98%,100%,*,100%,*,100%,100%,100%,99%,95%,98%,95%
At Meets Grade Level or Above,2021,69%,75%,91%,79%,81%,95%,*,98%,*,92%,83%,100%,92%,71%,78%,84%
At Masters Grade Level,2021,14%,18%,35%,15%,17%,29%,*,66%,*,26%,42%,55%,36%,11%,15%,42%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,86%,75%,79%,91%,82%,96%,87%,87%,56%,88%,88%,79%,74%,79%
,2019,78%,78%,90%,82%,85%,93%,88%,97%,92%,92%,60%,91%,91%,85%,81%,85%
At Meets Grade Level or Above,2021,41%,43%,65%,49%,53%,73%,54%,86%,63%,67%,31%,64%,68%,54%,46%,53%
,2019,50%,51%,69%,55%,59%,76%,61%,89%,66%,72%,34%,67%,72%,61%,52%,59%
At Masters Grade Level,2021,18%,20%,37%,23%,25%,43%,23%,63%,35%,40%,11%,36%,40%,29%,20%,28%
,2019,24%,25%,41%,26%,29%,46%,30%,68%,31%,44%,12%,37%,44%,33%,23%,33%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,69%,86%,77%,80%,91%,80%,95%,85%,88%,55%,88%,88%,80%,75%,79%
,2019,75%,75%,88%,80%,83%,92%,88%,96%,89%,92%,56%,90%,90%,83%,78%,82%
At Meets Grade Level or Above,2021,45%,46%,66%,54%,55%,74%,57%,85%,65%,68%,31%,65%,70%,57%,49%,53%
,2019,48%,49%,67%,54%,57%,74%,58%,86%,65%,72%,31%,65%,71%,58%,49%,55%
At Masters Grade Level,2021,18%,20%,36%,24%,25%,42%,21%,60%,31%,39%,11%,33%,39%,29%,19%,28%
,2019,21%,22%,37%,23%,26%,42%,22%,62%,27%,41%,10%,32%,40%,29%,20%,30%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,66%,66%,85%,71%,78%,91%,86%,97%,91%,86%,57%,89%,87%,78%,72%,81%
,2019,82%,82%,91%,83%,88%,94%,91%,98%,91%,93%,65%,94%,93%,88%,85%,90%
At Meets Grade Level or Above,2021,37%,39%,62%,41%,49%,72%,48%,87%,66%,64%,31%,65%,66%,52%,41%,55%
,2019,52%,53%,69%,53%,59%,76%,67%,92%,70%,70%,36%,72%,72%,62%,52%,65%
At Masters Grade Level,2021,18%,19%,36%,19%,23%,42%,22%,67%,32%,36%,12%,40%,39%,29%,18%,32%
,2019,26%,28%,43%,27%,30%,47%,37%,76%,36%,45%,15%,41%,46%,36%,24%,39%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,58%,59%,79%,67%,69%,85%,68%,95%,89%,81%,41%,82%,82%,72%,64%,75%
,2019,68%,69%,85%,75%,78%,89%,72%,96%,93%,86%,50%,82%,87%,80%,73%,81%
At Meets Grade Level or Above,2021,30%,31%,52%,38%,38%,59%,36%,79%,44%,51%,19%,51%,56%,45%,33%,47%
,2019,38%,39%,60%,44%,48%,66%,40%,83%,64%,61%,27%,53%,63%,52%,40%,53%
At Masters Grade Level,2021,9%,9%,21%,12%,12%,22%,12%,42%,11%,21%,4%,17%,23%,16%,9%,18%
,2019,14%,15%,29%,18%,18%,31%,26%,54%,21%,32%,6%,24%,31%,23%,13%,24%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,88%,80%,83%,93%,89%,97%,78%,90%,62%,92%,91%,81%,78%,79%
,2019,81%,82%,92%,85%,89%,95%,91%,98%,100%,95%,66%,95%,94%,88%,85%,88%
At Meets Grade Level or Above,2021,44%,45%,69%,54%,57%,77%,67%,89%,52%,74%,36%,70%,73%,57%,50%,51%
,2019,54%,55%,75%,60%,66%,82%,74%,91%,70%,77%,38%,73%,79%,66%,58%,63%
At Masters Grade Level,2021,20%,22%,42%,25%,29%,50%,33%,68%,41%,50%,13%,40%,47%,31%,23%,26%
,2019,25%,27%,45%,28%,32%,53%,26%,72%,33%,49%,13%,40%,50%,35%,25%,32%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,89%,85%,84%,94%,80%,96%,95%,91%,65%,87%,91%,82%,80%,76%
,2019,81%,81%,92%,87%,87%,95%,93%,98%,95%,94%,63%,89%,93%,87%,84%,79%
At Meets Grade Level or Above,2021,49%,51%,72%,62%,62%,79%,56%,87%,71%,75%,41%,70%,75%,60%,56%,50%
,2019,55%,57%,75%,66%,66%,81%,69%,90%,60%,78%,40%,66%,78%,65%,60%,50%
At Masters Grade Level,2021,29%,31%,52%,39%,40%,61%,28%,73%,52%,60%,21%,48%,56%,40%,35%,28%
,2019,33%,36%,56%,43%,44%,62%,52%,76%,40%,60%,19%,48%,59%,45%,37%,31%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,25%,42%,24%,28%,53%,25%,65%,33%,43%,20%,35%,44%,33%,22%,37%
,2019,35%,36%,51%,35%,37%,55%,58%,77%,25%,55%,26%,50%,53%,43%,30%,45%
Reading and Mathematics Including EOC,2021,24%,25%,42%,24%,28%,53%,25%,65%,33%,43%,20%,35%,44%,33%,22%,37%
,2019,35%,36%,51%,35%,37%,55%,58%,77%,25%,55%,26%,50%,53%,43%,30%,45%
Reading Including EOC,2021,38%,39%,58%,45%,46%,68%,63%,75%,83%,63%,30%,53%,61%,51%,40%,53%
,2019,45%,45%,60%,47%,50%,65%,63%,81%,50%,65%,34%,58%,62%,54%,42%,54%
Math Including EOC,2021,31%,31%,49%,29%,35%,61%,38%,73%,33%,52%,27%,48%,52%,41%,29%,46%
,2019,49%,48%,62%,45%,48%,67%,68%,87%,25%,63%,34%,67%,64%,55%,42%,59%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,27%,47%,28%,31%,57%,17%,73%,*,46%,22%,42%,51%,39%,26%,43%
,2019,35%,36%,52%,32%,40%,60%,34%,77%,*,49%,26%,55%,55%,45%,31%,48%
Reading and Mathematics Including EOC,2021,26%,27%,47%,28%,31%,57%,17%,73%,*,46%,22%,42%,51%,39%,26%,43%
,2019,35%,36%,52%,32%,40%,60%,34%,77%,*,49%,26%,55%,55%,45%,31%,48%
Reading Including EOC,2021,36%,37%,56%,40%,42%,65%,17%,78%,*,55%,27%,58%,59%,50%,37%,51%
,2019,44%,45%,62%,45%,52%,69%,41%,80%,*,63%,32%,63%,65%,54%,44%,57%
Math Including EOC,2021,36%,36%,59%,37%,44%,69%,50%,85%,*,60%,34%,61%,63%,50%,37%,56%
,2019,48%,49%,64%,42%,52%,72%,59%,90%,*,65%,37%,72%,68%,57%,44%,63%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,34%,35%,56%,39%,43%,62%,41%,82%,17%,60%,24%,65%,59%,47%,34%,49%
,2019,44%,44%,63%,46%,50%,69%,63%,86%,56%,66%,27%,58%,65%,57%,43%,58%
Reading and Mathematics Including EOC,2021,34%,35%,56%,39%,43%,62%,41%,82%,17%,60%,24%,65%,59%,47%,34%,49%
,2019,44%,44%,63%,46%,50%,69%,63%,86%,56%,66%,27%,58%,65%,57%,43%,58%
Reading Including EOC,2021,46%,47%,66%,54%,56%,72%,59%,85%,17%,71%,34%,74%,69%,60%,49%,60%
,2019,54%,54%,71%,59%,61%,77%,63%,88%,67%,76%,36%,71%,73%,67%,55%,67%
Math Including EOC,2021,44%,45%,66%,45%,54%,74%,65%,90%,67%,71%,36%,77%,70%,56%,46%,63%
,2019,58%,59%,73%,56%,63%,79%,69%,94%,67%,75%,39%,73%,75%,68%,57%,72%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,26%,48%,31%,35%,56%,38%,74%,*,54%,18%,51%,52%,39%,27%,41%
,2019,31%,32%,51%,35%,37%,58%,29%,78%,64%,56%,21%,46%,55%,41%,28%,44%
Reading and Mathematics Including EOC,2021,24%,26%,48%,31%,35%,56%,38%,74%,*,54%,18%,51%,52%,39%,27%,41%
,2019,31%,32%,51%,35%,37%,58%,29%,78%,64%,56%,21%,46%,55%,41%,28%,44%
Reading Including EOC,2021,32%,34%,55%,42%,43%,62%,46%,76%,*,61%,22%,59%,59%,46%,35%,47%
,2019,37%,38%,56%,44%,43%,63%,33%,80%,73%,62%,25%,52%,60%,48%,35%,48%
Math Including EOC,2021,36%,38%,64%,42%,51%,75%,58%,89%,80%,69%,31%,72%,68%,54%,41%,59%
,2019,48%,49%,68%,51%,54%,76%,76%,93%,73%,69%,33%,70%,72%,58%,46%,64%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,28%,55%,38%,41%,64%,42%,84%,67%,52%,21%,57%,59%,44%,35%,49%
,2019,36%,39%,60%,43%,47%,68%,53%,84%,80%,64%,27%,63%,64%,50%,39%,52%
Reading and Mathematics Including EOC,2021,27%,29%,56%,38%,41%,64%,42%,86%,67%,54%,22%,59%,61%,45%,35%,51%
,2019,37%,40%,61%,43%,47%,69%,53%,86%,80%,64%,27%,64%,65%,51%,40%,54%
Reading Including EOC,2021,45%,47%,70%,60%,58%,77%,62%,90%,67%,72%,31%,75%,74%,62%,54%,64%
,2019,49%,51%,71%,57%,61%,77%,60%,89%,80%,75%,35%,75%,74%,63%,53%,64%
Math Including EOC,2021,32%,34%,63%,41%,48%,72%,42%,91%,67%,61%,28%,64%,67%,52%,41%,58%
,2019,48%,50%,69%,51%,57%,77%,67%,92%,80%,72%,36%,73%,73%,61%,50%,64%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,21%,21%,39%,24%,32%,50%,9%,67%,60%,44%,18%,41%,43%,31%,27%,28%
,2019,34%,35%,52%,39%,42%,62%,55%,76%,38%,47%,20%,55%,56%,43%,36%,37%
Reading and Mathematics Including EOC,2021,33%,34%,58%,38%,46%,67%,21%,83%,82%,61%,22%,56%,62%,45%,39%,41%
,2019,47%,48%,68%,52%,57%,76%,64%,89%,44%,66%,23%,69%,73%,57%,48%,50%
Reading Including EOC,2021,47%,48%,67%,55%,57%,74%,71%,88%,82%,68%,31%,64%,71%,55%,52%,50%
,2019,55%,56%,74%,59%,65%,81%,79%,90%,44%,78%,31%,74%,78%,64%,56%,57%
Math Including EOC,2021,43%,44%,69%,47%,57%,79%,29%,92%,91%,72%,30%,71%,73%,57%,50%,57%
,2019,62%,64%,81%,66%,73%,86%,79%,96%,78%,78%,37%,83%,84%,72%,66%,71%
3rd - 8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,27%,49%,31%,35%,58%,31%,75%,45%,50%,21%,49%,52%,40%,28%,42%
